final_score,num_moves,game_duration,did_succed
685,119,0.003263235092163086,1
685,128,0.0060541629791259766,1
230,499,0.03449296951293945,0
725,134,0.005200862884521484,1
710,129,0.004759073257446289,1
700,112,0.003631114959716797,1
195,499,0.03334307670593262,0
195,499,0.03125476837158203,0
185,499,0.03235816955566406,0
180,499,0.031831979751586914,0
150,499,0.031950950622558594,0
165,499,0.030962228775024414,0
710,134,0.004870891571044922,1
155,499,0.033685922622680664,0
155,499,0.03874516487121582,0
130,499,0.03284502029418945,0
145,499,0.03162217140197754,0
155,499,0.030979156494140625,0
245,499,0.03157615661621094,0
290,499,0.03220486640930176,0
730,127,0.0038759708404541016,1
200,499,0.032392024993896484,0
360,85,0.021503925323486328,0
200,499,0.03487896919250488,0
230,499,0.03105902671813965,0
690,116,0.002864837646484375,1
130,499,0.03320026397705078,0
225,499,0.028086185455322266,0
165,499,0.03314614295959473,0
230,499,0.028470993041992188,0
675,111,0.003175973892211914,1
200,499,0.031713008880615234,0
660,113,0.003538846969604492,1
245,499,0.02590012550354004,0
150,499,0.029743194580078125,0
685,120,0.0033121109008789062,1
280,499,0.026156902313232422,0
190,499,0.03130817413330078,0
285,499,0.028718948364257812,0
195,499,0.031331777572631836,0
265,499,0.030832767486572266,0
640,105,0.0028727054595947266,1
655,119,0.003934383392333984,1
155,499,0.03280305862426758,0
165,499,0.032788991928100586,0
225,499,0.029072999954223633,0
720,133,0.003940105438232422,1
680,121,0.0038728713989257812,1
215,499,0.03238391876220703,0
685,115,0.003170013427734375,1
160,499,0.03064894676208496,0
150,499,0.0327150821685791,0
240,499,0.030623674392700195,0
705,129,0.004060029983520508,1
50,499,0.03480219841003418,0
90,499,0.03396201133728027,0
130,499,0.0340571403503418,0
230,499,0.03060293197631836,0
200,499,0.0318911075592041,0
255,499,0.0309600830078125,0
710,125,0.0036721229553222656,1
390,86,0.017325878143310547,0
160,499,0.03237581253051758,0
280,499,0.025861263275146484,0
330,499,0.0260927677154541,0
150,499,0.028703927993774414,0
695,120,0.0060269832611083984,1
320,499,0.026194095611572266,0
150,499,0.03193998336791992,0
245,499,0.029320240020751953,0
300,499,0.028020858764648438,0
100,499,0.035201072692871094,0
110,499,0.03718709945678711,0
700,130,0.005672931671142578,1
235,499,0.036103248596191406,0
250,80,0.025264978408813477,0
285,499,0.0313878059387207,0
285,499,0.02966618537902832,0
390,499,0.026479721069335938,0
270,499,0.024199962615966797,0
705,133,0.00391697883605957,1
230,499,0.031453847885131836,0
270,499,0.02947402000427246,0
675,116,0.0034902095794677734,1
445,92,0.02010202407836914,0
695,122,0.003831148147583008,1
290,499,0.029653072357177734,0
545,121,0.022637605667114258,0
160,499,0.03149104118347168,0
710,124,0.0036020278930664062,1
290,499,0.028828144073486328,0
150,499,0.03316903114318848,0
260,499,0.032839298248291016,0
170,499,0.029282093048095703,0
195,499,0.03573298454284668,0
190,499,0.03527712821960449,0
655,129,0.018116235733032227,0
330,499,0.029675006866455078,0
250,499,0.03200697898864746,0
160,499,0.03238797187805176,0
690,131,0.0042040348052978516,1
300,499,0.025942087173461914,0
175,499,0.03261375427246094,0
705,143,0.0049419403076171875,1
155,499,0.03200411796569824,0
155,499,0.031169891357421875,0
170,499,0.03620505332946777,0
675,123,0.004175901412963867,1
685,113,0.0032258033752441406,1
170,499,0.03566622734069824,0
285,499,0.03188610076904297,0
475,115,0.02126479148864746,0
205,499,0.03770184516906738,0
185,499,0.034815073013305664,0
140,499,0.0327916145324707,0
115,499,0.03497767448425293,0
160,499,0.033478736877441406,0
205,499,0.03153800964355469,0
740,147,0.0050809383392333984,1
260,499,0.029612064361572266,0
715,133,0.004541158676147461,1
220,499,0.03452014923095703,0
715,122,0.0036668777465820312,1
145,499,0.034619808197021484,0
170,499,0.0355379581451416,0
170,499,0.03797292709350586,0
290,499,0.03416109085083008,0
230,499,0.03544497489929199,0
185,499,0.036103010177612305,0
160,499,0.03605985641479492,0
705,113,0.0034291744232177734,1
725,122,0.004203081130981445,1
390,499,0.030932903289794922,0
130,499,0.03510689735412598,0
150,499,0.035225868225097656,0
280,499,0.032109975814819336,0
255,499,0.029970884323120117,0
695,133,0.0049648284912109375,1
330,499,0.031208038330078125,0
215,499,0.03169107437133789,0
715,122,0.00511479377746582,1
370,499,0.026053190231323242,0
230,499,0.03278303146362305,0
375,91,0.023075103759765625,0
270,80,0.027297019958496094,0
140,499,0.03681802749633789,0
115,499,0.03607678413391113,0
220,499,0.03476214408874512,0
305,499,0.032655954360961914,0
685,135,0.004488945007324219,1
